delayTolerance, linkLeakage, delayCutoff, storageSize, dataSize.0, flow.0, dataSize.1, flow.1, dataSize.2, flow.2
226800, 0.3, 43200, 8e+12, 8e+16, 5.71802646661e+15, 8e+16, 1.24992048307e+16, 8e+16, 1.46345252125e+16
230400, 0.3, 43200, 8e+12, 8e+16, 0.0, 0.0, 1.8336233486e+16, 8e+16, 1.49952353006e+16
234000, 0.3, 43200, 8e+12, 8e+16, 2.99410113826e+16, 8e+16, 1.47199388466e+15, 8e+16, 6.69829934242e+15
237600, 0.3, 43200, 8e+12, 8e+16, 3.0482623447e+16, 8e+16, 1.50299206111e+15, 8e+16, 6.83892712645e+15
241200, 0.3, 43200, 8e+12, 8e+16, 3.10242355113e+16, 8e+16, 1.53399023756e+15, 8e+16, 6.97955491047e+15
244800, 0.3, 43200, 8e+12, 8e+16, 3.15658475757e+16, 8e+16, 1.56498841401e+15, 8e+16, 7.12018269449e+15
248400, 0.3, 43200, 8e+12, 8e+16, 3.210745964e+16, 8e+16, 1.59598659047e+15, 8e+16, 7.26081047852e+15
252000, 0.3, 43200, 8e+12, 8e+16, 3.26490717044e+16, 8e+16, 1.62698476692e+15, 8e+16, 7.40143826254e+15
255600, 0.3, 43200, 8e+12, 8e+16, 3.31906837687e+16, 8e+16, 1.65798294337e+15, 8e+16, 7.54206604656e+15
259200, 0.3, 43200, 8e+12, 8e+16, 3.37322958331e+16, 8e+16, 1.68898111982e+15, 8e+16, 7.68269383059e+15
262800, 0.3, 43200, 8e+12, 8e+16, 3.42739078975e+16, 8e+16, 1.71997929627e+15, 8e+16, 7.82332161461e+15
266400, 0.3, 43200, 8e+12, 8e+16, 3.48155199618e+16, 8e+16, 1.75097747272e+15, 8e+16, 7.96394939863e+15
270000, 0.3, 43200, 8e+12, 8e+16, 3.53571320262e+16, 8e+16, 1.78197564917e+15, 8e+16, 8.10457718266e+15
273600, 0.3, 43200, 8e+12, 8e+16, 3.58987440905e+16, 8e+16, 1.81297382562e+15, 8e+16, 8.24520496668e+15
