beta;dA;dB;dC
0.340000;7.5626258752517685;8.227504621980673;9.025661801044635
0.350000;8.026309982634412;8.753621940443454;9.629004314426236
0.360000;8.518423759153912;9.313382440588196;10.272678738805377
0.370000;9.040710301186362;9.908937474658904;10.959381159753082
0.380000;9.595019578844646;10.542575965612176;11.691987889296957
0.390000;10.183314988683025;11.216733204235855;12.473567513600983
0.400000;10.80768030816494;11.934000208809634;13.307393746002031
0.410000;11.470327076527205;12.69713368328001;14.196959139239146
0.420000;12.173602428184003;13.509066612222268;15.145989714310444
0.430000;12.919997406417108;14.372919533309592;16.158460567231863
0.440000;13.71215578679992;15.29201253061328;17.238612519067996
0.450000;14.552883441608362;16.26987799482844;18.39096987897508
0.460000;15.44515827838801;17.310274199467102;19.620359394658227
0.470000;16.392140787880397;18.417199745196744;20.931930469618436
0.480000;17.397185238669906;19.594908927838766;22.331176731871118
0.490000;18.463851558203345;20.847928089091464;23.82395904447854
0.500000;19.59591794226549;22.18107301281891;25.41653005427776
0.510000;20.797394237574146;23.599467433765717;27.11556038162861
0.520000;22.072536144896574;25.10856272983296;28.92816656087952
0.530000;23.4258602929957;26.714158873599583;30.86194084858245
0.540000;24.86216023679883;28.422426723613068;32.924983024311096
0.550000;26.38652343645539;30.239931741122533;35.12593431728279
0.560000;28.00434927742451;32.173659223405835;37.47401360088874
0.570000;29.721368195420645;34.23104115067099;39.979056006736435
0.580000;31.543661973959;36.419984749713855;42.65155411994253
0.590000;33.47768528639584;38.748902884111935;45.502701928226145
0.600000;35.530288558766856;41.22674638775446;48.544441708887135
0.610000;37.70874223440516;43.86303846597743;51.78951405005958
0.620000;40.02076252628562;46.66791129651914;55.251511215758626
0.630000;42.4745387483119;49.6521449709662;58.944934078244934
0.640000;45.078762322355196;52.82720892635553;62.88525285617265
0.650000;47.84265756378941;56.20530602616808;67.08897191292806
0.660000;50.776014354566875;59.799419460132796;71.57369888657212
0.670000;53.88922281956472;63.623362643092946;76.35821844094366
0.680000;57.19331012902751;67.69183230471324;81.46257094683615
0.690000;60.6999795574625;72.02046497406984;86.90813642281073
0.700000;64.42165193733672;76.62589707621291;92.71772408723892
0.710000;68.37150965440709;81.52582887167351;98.9156678966715
0.720000;72.56354334051775;86.73909248465641;105.52792847070387
0.730000;77.01260142925331;92.28572428137444;112.58220183025954
0.740000;81.73444274997708;98.18704187669944;120.10803540475062
0.750000;86.7457923465455;104.46572606509262;128.13695179402208
0.760000;92.06440071841197;111.14590799070334;136.7025808034665
0.770000;97.70910669395565;118.2532618916608;145.84080030535046
0.780000;103.69990415873622;125.81510377500695;155.5898865163616
0.790000;110.05801287503027;133.86049640151245;165.9906743208276
0.800000;116.80595364349608;142.42036098386816;177.08672831113373
0.810000;123.96762807319405;151.52759602754725;188.9245252617571
0.820000;131.56840324251297;161.21720377108358;201.55364880122562
0.830000;139.6352015508761;171.5264247117205;215.02699709740145
0.840000;148.19659607948725;182.49488073345816;229.40100442599743
0.850000;157.28291179889013;194.1647273875896;244.73587755038437
0.860000;166.9263329818246;206.58081591099213;261.0958479027867
0.870000;177.16101720184207;219.79086560486635;278.54944062314934
0.880000;188.02321632147027;233.84564723643325;297.1697615825674
0.890000;199.55140489847457;248.79917816846543;317.03480359350175
0.900000;211.78641646503857;264.70892996660234;338.22777308936816
0.910000;224.7715881625729;281.6360492823559;360.8374386418247
0.920000;238.55291424445738;299.64559286073603;384.9585027755528
0.930000;253.17920899043236;318.80677757571084;410.69199863791033
0.940000;268.70227960969186;339.1932464544745;438.14571318494006
0.950000;285.17710974511135;360.883351712945;467.43463865628667
0.960000;302.66205422859366;383.96045589029484;498.6814542300613
0.970000;321.2190457773671;408.51325223987834;532.0170398751088
0.980000;340.9138143633676;434.6361056079283;567.5810245529899
0.990000;361.8161200327232;462.42941511013555;605.5223710658705
1.000000;384.00000000000205;492.00000000000273;646.0000000000038
1.010000;407.5440308924476;523.4615102119988;689.183455378246
1.020000;432.5316070730818;556.9348631573678;735.2536148097462
1.030000;459.05123602851853;592.5487084513558;784.4034471113372
1.040000;487.19685186776513;630.439922357956;836.8388205739868
1.050000;517.0681480424444;670.7541338524981;892.7793652598033
1.060000;548.7709304669519;713.6462843239184;952.4593929414008
1.070000;582.4174922893214;759.2812230678409;1016.1288785368689
1.080000;618.12701164026;807.8343408591531;1084.0545071511724
1.090000;656.0259737692008;859.4922440391149;1156.5207911096009
1.100000;696.2486190626088;914.4534717077488;1233.831261662063
1.110000;738.9374185314435;972.9292587779285;1316.3097403497777
1.120000;784.2435784519857;1035.144347823846;1404.301695359592
1.130000;832.3275759474948;1101.337852844069;1498.1756885471316
1.140000;883.3597274077606;1171.7641782589292;1598.3249191897662
1.150000;937.5207917599233;1246.6939966742632;1705.1688709355303
1.160000;995.0026107273857;1326.4152891693877;1819.1550688463844
1.170000;1056.00878834465;1411.2344521074979;1940.7609538953482
1.180000;1120.755412134963;1501.4774747223362;2070.4958827689925
1.190000;1189.471818505226;1597.4911920070078;2208.9032613516374
1.200000;1262.4014050692374;1699.6446177202233;2356.562820827538
1.210000;1339.8024927765725;1808.3303626331676;2514.093045934705
1.220000;1421.9492409008094;1923.9661434678133;2682.153765541315
1.230000;1509.132618128044;2046.9963883260386;2861.448916395552
1.240000;1601.6614331853452;2177.893944779775;3052.729491625097
1.250000;1699.8634286597053;2317.1618971869557;3256.796686336298
1.260000;1804.0864418818467;2465.33550021784;3474.5052534886354
1.270000;1914.699636986816;2622.9842360229204;3706.7670841008553
1.280000;2032.094812515388;2790.7140029488137;3954.555026784765
1.290000;2156.687789187889;2969.1694442141265;4218.9069626051405
1.300000;2288.919882766013;3159.0364254952015;4500.930152333644
1.310000;2429.259467219595;3361.0446709439498;4801.805874305601
1.320000;2578.203633735178;3575.970567768904;5122.794372305688
1.330000;2736.2799514426674;3804.640150158453;5465.240134207193
1.340000;2904.048336096692;4047.932274014509;5830.577523474861
1.350000;3082.103033331627;4306.781994698198;6220.336787119377
1.360000;3271.074723515116;4582.184160769412;6636.150465268304
1.370000;3471.6327556555775;4875.197237532202;7079.760229200524
1.380000;3684.48751827636;5186.947375081214;7553.024176485869
1.390000;3910.3929556542985;5518.6327364840645;8057.924613786273
1.400000;4150.149238335355;5871.528102734366;8596.576359917353
1.410000;4404.605597386466;6246.9897721737925;9171.235603948531
1.420000;4674.663332422677;6646.460773213385;9784.309355444593
1.430000;4961.279004064191;7071.476410388351;10438.365526431833
1.440000;5265.4678221311915;7523.670165061768;11136.143687317977
1.450000;5588.307241577635;8004.779973455628;11880.566541817958
1.460000;5930.940778901022;8516.654906137852;12674.752168949273
1.470000;6294.5820625461;9061.262274636838;13522.027083373574
1.480000;6680.519131649273;9640.695192496716;14425.94016878881
1.490000;7090.118998350114;10257.180619833047;15390.277542733207
1.500000;7524.8324898299825;10913.087922306957;16419.078415063515
