delayTolerance, linkLeakage, delayCutoff, storageSize, dataSize.0, flow.0, dataSize.1, flow.1, dataSize.2, flow.2
691200, 0.00067, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00068, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00069, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0007, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00071, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00072, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00073, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00074, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00075, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00076, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00077, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00078, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00079, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0008, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00081, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00082, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00083, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00084, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00085, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
